station_code,stn,name,name_en,pref,address,lat,lng,att,geo3x3,src
,A6,羅臼,RAUSU,北海道,目梨郡 羅臼町,44°1′N,145°12′E,-,E9273277188,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=A6
101803,NM,根室,NEMURO,北海道,根室市 海岸町２丁目,43°21′N,145°35′E,-,E9273222358,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=NM
101102,KE,枝幸,ESASHI,北海道,枝幸郡 枝幸町 幸町,44°56′N,142°35′E,-,E9272725518,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=KE
101701,A0,紋別,MONBETSU,北海道,紋別市 弁天町,44°21′N,143°22′E,-,E9272552631,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=A0
101731,AS,網走,ABASHIRI,北海道,網走市 港町,44°1′N,144°17′E,-69.3(cm),E9272398178,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=AS
101131,WN,稚内,WAKKANAI,北海道,稚内市 新港町,45°24′N,141°41′E,-1.8(cm),E9271976227,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=WN
101104,F3,沓形,KUTSUGATA,北海道,利尻郡 利尻町 沓形,45°11′N,141°8′E,-,E9271855643,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=F3
101381,B2,留萌,RUMOI,北海道,留萌市 大町１丁目,43°57′N,141°38′E,-,E9271375655,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=B2
101831,HN,花咲,HANASAKI,北海道,根室市 花咲港,43°17′N,145°34′E,-81.5(cm),E9249888536,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=HN
101903,KP,霧多布,KIRITAPPU,北海道,厚岸郡 浜中町 霧多布,43°5′N,145°7′E,-,E9249769785,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=KP
101931,KR,釧路,KUSHIRO,北海道,釧路市 港町,42°59′N,144°22′E,-89.6(cm),E9248966718,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=KR
102082,B1,十勝,TOKACHI,北海道,広尾郡 広尾町 会所前,42°18′N,143°19′E,-,E9248558463,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=B1
102282,A9,浦河,URAKAWA,北海道,浦河郡 浦河町 大通１丁目,42°10′N,142°46′E,-,E9248461865,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=A9
102101,C8,苫小牧東,TOMAKOMAIHIGASHI,北海道,勇払郡 厚真町 浜厚真,42°36′N,141°49′E,-,E9247922118,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=C8
102102,TM,苫小牧西,TOMAKOMAINISHI,北海道,苫小牧市 汐見町１丁目,42°38′N,141°37′E,-,E9247912566,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=TM
101402,IK,石狩新港,ISHIKARISHINKO,北海道,石狩市 新港東４丁目,43°13′N,141°18′E,-,E9247894681,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=IK
101631,B3,小樽,OTARU,北海道,小樽市 色内３丁目,43°12′N,141°0′E,-2.0(cm),E9247884425,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=B3
101603,Z8,忍路,OSHORO,北海道,小樽市 忍路１丁目,43°13′N,140°52′E,-8.5(cm),E9247875583,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=Z8
101602,B5,岩内,IWANAI,北海道,岩内郡 岩内町 御崎,42°59′N,140°31′E,-,E9247764738,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=B5
,B6,寿都,SUTTSU,北海道,寿都郡 寿都町,42°48′N,140°14′E,-,E9247719658,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=B6
102105,SO,白老,SHIRAOI,北海道,白老郡 白老町 石山,42°31′N,141°19′E,-,E9247597339,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=SO
102103,A8,室蘭,MURORAN,北海道,室蘭市 祝津町１丁目,42°21′N,140°57′E,-,E9247573226,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=A8
102305,A3,森,MORI,北海道,茅部郡 森町 港町,42°7′N,140°36′E,-,E9247462168,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=A3
102481,ES,江差,ESASHI,北海道,檜山郡 江差町 中歌町,41°52′N,140°8′E,-,E9247412265,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=ES
113131,SH,下北,SHIMOKITA,青森県,むつ市 関根,41°22′N,141°14′E,-77.6(cm),E9247253339,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=SH
,B4,大間,OMA,青森県,下北郡 大間町,41°32′N,140°54′E,-,E9247248362,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=B4
,Q2,大湊,OMINATO,青森県,むつ市,41°15′N,141°9′E,-,E9247225933,https://www.data.jma.go.jp/kaiyou/db/tide/suisan/suisan.php?stn=Q2
